id,bloco,descricao,valor_no_artigo,fonte_arquivo,fonte_localizador,valor_bruto_na_fonte,transformacao,trecho_esperado_no_tex,ocorrencias_no_tex,status
A4_TXT_INTERIOR,Apendice A,Contraste interior proximo x interior remoto,"12,1",output/tema_trabalho/A4_tabela_02_modelo_principal_LPM.csv,linha 19; coluna coef,0.1206500170023402,"proporcao x100, 1 casa","diferenças positivas em relação ao interior remoto, de 32,6 e 12,1 pontos percentuais",1,OK
A4_TXT_MDE,Apendice A,Efeito minimo detectavel do contraste metropolitano,"13,7",output/tema_trabalho/A4_estimativas_atracao.json,campo potencia_referencia/contrastes_vs_interior_remoto_p30/metropolitano,0.1374,"proporcao x100, 1 casa","mínimo detectável aproximado é de 13,7 pontos percentuais",1,OK
A4_TXT_NOTA_TABELA,Tabela A1,Celulas e municipios na nota da tabela,1.295,output/tema_trabalho/A4_tabela_02_modelo_principal_LPM.csv,linha 20; coluna n,1295,inteiro com separador de milhar,\textit{Nota:} 1.295 células e 368 municípios,1,OK
A4_TXT_N_ATRACAO,Apendice A,Celulas com atracao realizada,393,output/tema_trabalho/A4_tabela_02_modelo_principal_LPM.csv,linha 20; coluna outcome_medio e linha 20; coluna n,0.3034749034749034 x 1295,"outcome_medio x n, arredondado",Houve atração em 393 células,1,OK
A4_TXT_N_CELULAS,Apendice A,Celulas CNES--curso da coorte A4,1.295,output/tema_trabalho/A4_tabela_02_modelo_principal_LPM.csv,linha 20; coluna n,1295,inteiro com separador de milhar,A coorte contém as 1.295 células CNES--curso do quadro da primeira chamada,1,OK
A4_TXT_N_MUNICIPIOS,Apendice A,Municipios da coorte A4,368,output/tema_trabalho/A4_tabela_02_modelo_principal_LPM.csv,linha 20; coluna n_clusters,368,inteiro,"do quadro da primeira chamada, em 368 municípios",1,OK
A4_TXT_P30,Apendice A,Probabilidade base usada no calculo de potencia,"0,30",output/tema_trabalho/A4_estimativas_atracao.json,chave potencia_referencia/..._p30,p30,sufixo p30 da chave de potencia,"sob probabilidade base de 0,30",1,OK
A4_TXT_TAXA,Apendice A,Proporcao de celulas com atracao realizada,"30,3",output/tema_trabalho/A4_tabela_02_modelo_principal_LPM.csv,linha 20; coluna outcome_medio,0.3034749034749034,"proporcao x100, 1 casa","células, ou 30,3\% do total",1,OK
A5_TXT_AMOSTRA,Apendice B,Celulas e municipios da amostra confirmatoria,587 e 295,output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/principal_dinamico_confirmatorio/n_celulas e campo modelos/principal_dinamico_confirmatorio/n_clusters,587; 295,inteiros,A amostra confirmatória tem 587 células em 295 municípios,1,OK
A5_TXT_DELTA_COM_MAX,Apendice B,Maximo com atracao,211,output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/distribuicao_delta_confirmatoria/1/max,211.0,inteiro,"Sem atração, a mediana é 0 e a média é 0,55, com máximo de 25; com atração, a mediana é 1 e a média é 2,29, com máximo de 211",1,OK
A5_TXT_DELTA_COM_MEDIA,Apendice B,Media com atracao,"2,29",output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/distribuicao_delta_confirmatoria/1/media,2.2883720930232556,2 casas,"Sem atração, a mediana é 0 e a média é 0,55, com máximo de 25; com atração, a mediana é 1 e a média é 2,29, com máximo de 211",1,OK
A5_TXT_DELTA_COM_MEDIANA,Apendice B,Mediana com atracao,1,output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/distribuicao_delta_confirmatoria/1/mediana,1.0,inteiro,"Sem atração, a mediana é 0 e a média é 0,55, com máximo de 25; com atração, a mediana é 1 e a média é 2,29, com máximo de 211",1,OK
A5_TXT_DELTA_SEM_MAX,Apendice B,Maximo sem atracao,25,output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/distribuicao_delta_confirmatoria/0/max,25.0,inteiro,"Sem atração, a mediana é 0 e a média é 0,55, com máximo de 25; com atração, a mediana é 1 e a média é 2,29, com máximo de 211",1,OK
A5_TXT_DELTA_SEM_MEDIA,Apendice B,Media sem atracao,"0,55",output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/distribuicao_delta_confirmatoria/0/media,0.5483870967741935,2 casas,"Sem atração, a mediana é 0 e a média é 0,55, com máximo de 25; com atração, a mediana é 1 e a média é 2,29, com máximo de 211",1,OK
A5_TXT_DELTA_SEM_MEDIANA,Apendice B,Mediana sem atracao,0,output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/distribuicao_delta_confirmatoria/0/mediana,0.0,inteiro,"Sem atração, a mediana é 0 e a média é 0,55, com máximo de 25; com atração, a mediana é 1 e a média é 2,29, com máximo de 211",1,OK
A5_TXT_LOO14_BETA,Apendice B,Nivel sem o curso de radiologia,"0,20",output/tema_trabalho/A5_tabela_09_leave_one_curso_evento.csv,linha 22; coluna beta,0.2001726463570373,2 casas,"cai para 0,20, com $p$ de 0,366, e ao restringir aos oito cursos cuja correspondência com o CBO é estritamente unívoca cai para 0,12, com $p$ de 0,608",1,OK
A5_TXT_LOO14_P,Apendice B,p-valor em nivel sem radiologia,"0,366",output/tema_trabalho/A5_tabela_09_leave_one_curso_evento.csv,linha 22; coluna p_valor,0.366206340018766,3 casas,"cai para 0,20, com $p$ de 0,366, e ao restringir aos oito cursos cuja correspondência com o CBO é estritamente unívoca cai para 0,12, com $p$ de 0,608",1,OK
A5_TXT_LOO8_BETA,Apendice B,Nivel nos oito cursos estritos,"0,12",output/tema_trabalho/A5_tabela_09_leave_one_curso_evento.csv,linha 25; coluna beta,0.1212161082587121,2 casas,"cai para 0,20, com $p$ de 0,366, e ao restringir aos oito cursos cuja correspondência com o CBO é estritamente unívoca cai para 0,12, com $p$ de 0,608",1,OK
A5_TXT_LOO8_P,Apendice B,p-valor em nivel nos oito estritos,"0,608",output/tema_trabalho/A5_tabela_09_leave_one_curso_evento.csv,linha 25; coluna p_valor,0.6078994613289197,3 casas,"cai para 0,20, com $p$ de 0,366, e ao restringir aos oito cursos cuja correspondência com o CBO é estritamente unívoca cai para 0,12, com $p$ de 0,608",1,OK
A5_TXT_MAR_BETA,Apendice B,Diferenca em nivel em marco de 2026,"0,50",output/tema_trabalho/A5_tabela_07_estudo_evento_atracao.csv,linha 23; coluna beta,0.5001997255486574,2 casas,"em nível é 0,50 profissional por célula, com erro-padrão de 0,23 e $p$ de 0,033",1,OK
A5_TXT_MAR_P,Apendice B,p-valor da diferenca em nivel,"0,033",output/tema_trabalho/A5_tabela_07_estudo_evento_atracao.csv,linha 23; coluna p_valor,0.0333827608956614,3 casas,"em nível é 0,50 profissional por célula, com erro-padrão de 0,23 e $p$ de 0,033",1,OK
A5_TXT_MAR_SE,Apendice B,Erro-padrao da diferenca em nivel,"0,23",output/tema_trabalho/A5_tabela_07_estudo_evento_atracao.csv,linha 23; coluna se_cluster,0.2340124350208935,2 casas,"em nível é 0,50 profissional por célula, com erro-padrão de 0,23 e $p$ de 0,033",1,OK
A5_TXT_PLOO14,Apendice B,Proporcional sem o curso de radiologia,"0,059",output/tema_trabalho/A5_tabela_09_leave_one_curso_evento.csv,linha 10; coluna beta,0.0591828213325006,3 casas,"0,059 sem o curso de radiologia e 0,057 nos oito cursos estritos",1,OK
A5_TXT_PLOO8,Apendice B,Proporcional nos oito cursos estritos,"0,057",output/tema_trabalho/A5_tabela_09_leave_one_curso_evento.csv,linha 13; coluna beta,0.0569952244896738,3 casas,"0,059 sem o curso de radiologia e 0,057 nos oito cursos estritos",1,OK
A5_TXT_PRE_F,Apendice B,Teste conjunto pre-referencia na escala proporcional,"0,63",output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/principal_proporcional_confirmatorio/pre_F,0.6333416555426543,2 casas,"com $F$ de 0,63 e $p$ de 0,813",1,OK
A5_TXT_PRE_P,Apendice B,p-valor do teste conjunto pre-referencia proporcional,"0,813",output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/principal_proporcional_confirmatorio/pre_p,0.8133080013325611,3 casas,"com $F$ de 0,63 e $p$ de 0,813",1,OK
A5_TXT_PROP_BETA,Apendice B,Diferenca proporcional em marco de 2026,"0,068",output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/principal_proporcional_confirmatorio/mar2026_beta,0.06840172350321648,3 casas,"é de 0,068 log-ponto por célula, com erro-padrão de 0,018 e $p$ inferior a 0,001",1,OK
A5_TXT_PROP_SE,Apendice B,Erro-padrao da diferenca proporcional,"0,018",output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/principal_proporcional_confirmatorio/mar2026_se,0.01813522946397433,3 casas,"é de 0,068 log-ponto por célula, com erro-padrão de 0,018 e $p$ inferior a 0,001",1,OK
A5_TXT_REF_BETA,Apendice B,Nivel contra a media dos doze meses pre,"0,41",output/tema_trabalho/A5_tabela_10_sensibilidade_referencia.csv,linha 30; coluna beta,0.4050517894516139,2 casas,"é 0,41 com $p$ de 0,174",1,OK
A5_TXT_REF_P,Apendice B,p-valor contra a media dos doze meses pre,"0,174",output/tema_trabalho/A5_tabela_10_sensibilidade_referencia.csv,linha 30; coluna p_valor,0.1738846135016162,3 casas,"é 0,41 com $p$ de 0,174",1,OK
A8_CONCLUSAO_ATIVO,Secao 7,Diferenca de presenca ativa na conclusao,"33,3",output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 11; coluna diferenca,0.3333333333333333,"proporcao x100, 1 casa","curso--CNES em 63,9 pontos percentuais e a presença ativa posterior naquele mesmo curso--CNES em 33,3 pontos percentuais",1,OK
A8_CONCLUSAO_HOMOLOG,Secao 7,Diferenca de homologacao na conclusao,"63,9",output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 10; coluna diferenca,0.6388888888888888,"proporcao x100, 1 casa","curso--CNES em 63,9 pontos percentuais e a presença ativa posterior naquele mesmo curso--CNES em 33,3 pontos percentuais",1,OK
A8_GAP_EMPATES_ativo,Tabela 4 (janelas de gap),Diferenca de presenca ativa no recorte empate_descritivo_nao_causal,"43,4",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 9; coluna diferenca,0.4342105263157895,"proporcao x100, 1 casa","Empates (descritivo, não causal) & 76 & 64,5 & 43,4 \\",1,OK
A8_GAP_EMPATES_homolog,Tabela 4 (janelas de gap),Diferenca de homologacao no recorte empate_descritivo_nao_causal,"64,5",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 8; coluna diferenca,0.6447368421052632,"proporcao x100, 1 casa","Empates (descritivo, não causal) & 76 & 64,5 & 43,4 \\",1,OK
A8_GAP_EMPATES_pares,Tabela 4 (janelas de gap),Numero de pares no recorte empate_descritivo_nao_causal,76,output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 8; coluna n_pares,76,inteiro,"Empates (descritivo, não causal) & 76 & 64,5 & 43,4 \\",1,OK
A8_GAP_GAP1_ativo,Tabela 4 (janelas de gap),Diferenca de presenca ativa no recorte gap_1_ac,"33,3",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 3; coluna diferenca,0.3333333333333333,"proporcao x100, 1 casa","Gap de exatamente 1 ponto (principal) & 36 & 63,9 & 33,3 \\",1,OK
A8_GAP_GAP1_homolog,Tabela 4 (janelas de gap),Diferenca de homologacao no recorte gap_1_ac,"63,9",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 2; coluna diferenca,0.6388888888888888,"proporcao x100, 1 casa","Gap de exatamente 1 ponto (principal) & 36 & 63,9 & 33,3 \\",1,OK
A8_GAP_GAP1_pares,Tabela 4 (janelas de gap),Numero de pares no recorte gap_1_ac,36,output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 2; coluna n_pares,36,inteiro,"Gap de exatamente 1 ponto (principal) & 36 & 63,9 & 33,3 \\",1,OK
A8_GAP_GAP2_ativo,Tabela 4 (janelas de gap),Diferenca de presenca ativa no recorte gap_positivo_ate_2_ac,"35,1",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 5; coluna diferenca,0.3513513513513513,"proporcao x100, 1 casa","Gap positivo de até 2 pontos & 74 & 58,1 & 35,1 \\",1,OK
A8_GAP_GAP2_homolog,Tabela 4 (janelas de gap),Diferenca de homologacao no recorte gap_positivo_ate_2_ac,"58,1",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 4; coluna diferenca,0.581081081081081,"proporcao x100, 1 casa","Gap positivo de até 2 pontos & 74 & 58,1 & 35,1 \\",1,OK
A8_GAP_GAP2_pares,Tabela 4 (janelas de gap),Numero de pares no recorte gap_positivo_ate_2_ac,74,output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 4; coluna n_pares,74,inteiro,"Gap positivo de até 2 pontos & 74 & 58,1 & 35,1 \\",1,OK
A8_GAP_GAPQUALQUER_ativo,Tabela 4 (janelas de gap),Diferenca de presenca ativa no recorte qualquer_gap_positivo_ac,"36,0",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 7; coluna diferenca,0.36,"proporcao x100, 1 casa","Qualquer gap positivo & 100 & 58,0 & 36,0 \\",1,OK
A8_GAP_GAPQUALQUER_homolog,Tabela 4 (janelas de gap),Diferenca de homologacao no recorte qualquer_gap_positivo_ac,"58,0",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 6; coluna diferenca,0.58,"proporcao x100, 1 casa","Qualquer gap positivo & 100 & 58,0 & 36,0 \\",1,OK
A8_GAP_GAPQUALQUER_pares,Tabela 4 (janelas de gap),Numero de pares no recorte qualquer_gap_positivo_ac,100,output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 6; coluna n_pares,100,inteiro,"Qualquer gap positivo & 100 & 58,0 & 36,0 \\",1,OK
A8_PLACEBO_ABAIXO_ATIVO_LOCAL_dif,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'dif' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'ativo_mesma_celula_snapshot'}","0,0",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 3; coluna diferenca,0.0,"proporcao x100, 1 casa","Imediatamente abaixo & Ativo no mesmo curso--CNES & 30 & 0,0 & 1,000 \\",1,OK
A8_PLACEBO_ABAIXO_ATIVO_LOCAL_p,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'p' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'ativo_mesma_celula_snapshot'}","1,000",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 3; coluna p_exato_pareado_bicaudal,1.0,p exato com 3 casas,"Imediatamente abaixo & Ativo no mesmo curso--CNES & 30 & 0,0 & 1,000 \\",1,OK
A8_PLACEBO_ABAIXO_ATIVO_LOCAL_pares,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'pares' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'ativo_mesma_celula_snapshot'}",30,output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 3; coluna n_pares,30,inteiro,"Imediatamente abaixo & Ativo no mesmo curso--CNES & 30 & 0,0 & 1,000 \\",1,OK
A8_PLACEBO_ABAIXO_ATIVO_QUALQUER_dif,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'dif' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'ativo_qualquer_local_snapshot'}","$-$3,3",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 5; coluna diferenca,-0.0333333333333333,"proporcao x100, 1 casa","Imediatamente abaixo & Ativo em qualquer local & 30 & $-$3,3 & 1,000 \\",1,OK
A8_PLACEBO_ABAIXO_ATIVO_QUALQUER_p,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'p' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'ativo_qualquer_local_snapshot'}","1,000",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 5; coluna p_exato_pareado_bicaudal,1.0,p exato com 3 casas,"Imediatamente abaixo & Ativo em qualquer local & 30 & $-$3,3 & 1,000 \\",1,OK
A8_PLACEBO_ABAIXO_ATIVO_QUALQUER_pares,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'pares' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'ativo_qualquer_local_snapshot'}",30,output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 5; coluna n_pares,30,inteiro,"Imediatamente abaixo & Ativo em qualquer local & 30 & $-$3,3 & 1,000 \\",1,OK
A8_PLACEBO_ABAIXO_HOMOLOG_LOCAL_dif,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'dif' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'homologacao_mesma_celula'}","$-$3,3",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 2; coluna diferenca,-0.0333333333333333,"proporcao x100, 1 casa","Imediatamente abaixo & Homologação no mesmo curso--CNES & 30 & $-$3,3 & 1,000 \\",1,OK
A8_PLACEBO_ABAIXO_HOMOLOG_LOCAL_p,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'p' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'homologacao_mesma_celula'}","1,000",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 2; coluna p_exato_pareado_bicaudal,1.0,p exato com 3 casas,"Imediatamente abaixo & Homologação no mesmo curso--CNES & 30 & $-$3,3 & 1,000 \\",1,OK
A8_PLACEBO_ABAIXO_HOMOLOG_LOCAL_pares,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'pares' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'homologacao_mesma_celula'}",30,output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 2; coluna n_pares,30,inteiro,"Imediatamente abaixo & Homologação no mesmo curso--CNES & 30 & $-$3,3 & 1,000 \\",1,OK
A8_PLACEBO_ABAIXO_HOMOLOG_QUALQUER_dif,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'dif' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'homologacao_qualquer_local'}","6,7",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 4; coluna diferenca,0.0666666666666666,"proporcao x100, 1 casa","Imediatamente abaixo & Homologação em qualquer local & 30 & 6,7 & 0,6875 \\",1,OK
A8_PLACEBO_ABAIXO_HOMOLOG_QUALQUER_p,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'p' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'homologacao_qualquer_local'}","0,6875",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 4; coluna p_exato_pareado_bicaudal,0.6875,p exato com 4 casas,"Imediatamente abaixo & Homologação em qualquer local & 30 & 6,7 & 0,6875 \\",1,OK
A8_PLACEBO_ABAIXO_HOMOLOG_QUALQUER_pares,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'pares' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_abaixo_gap_1_ac', 'desfecho': 'homologacao_qualquer_local'}",30,output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 4; coluna n_pares,30,inteiro,"Imediatamente abaixo & Homologação em qualquer local & 30 & 6,7 & 0,6875 \\",1,OK
A8_PLACEBO_ACIMA_ATIVO_LOCAL_dif,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'dif' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_acima_gap_1_ac', 'desfecho': 'ativo_mesma_celula_snapshot'}","$-$20,0",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 7; coluna diferenca,-0.2,"proporcao x100, 1 casa","Imediatamente acima & Ativo no mesmo curso--CNES & 5 & $-$20,0 & 1,000 \\",1,OK
A8_PLACEBO_ACIMA_ATIVO_LOCAL_p,Tabela 3 (placebos),"Tabela 3 (placebos): celula 'p' da linha {'ciclo_chamada': '2025_C1_CH1_E_CH2', 'amostra': 'placebo_acima_gap_1_ac', 'desfecho': 'ativo_mesma_celula_snapshot'}","1,000",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 7; coluna p_exato_pareado_bicaudal,1.0,p exato com 3 casas,"Imediatamente acima & Ativo no mesmo curso--CNES & 5 & $-$20,0 & 1,000 \\",1,OK
