id,bloco,descricao,valor_no_artigo,fonte_arquivo,fonte_localizador,valor_bruto_na_fonte,transformacao,trecho_esperado_no_tex,ocorrencias_no_tex,status,origem_registro
CURTO_C7_N_TOTAL,Tabela 4 (nota),contagem TOTAL,372,output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/nivel/n_tratadas,372,inteiro,"são as 372 células sem atração; no placebo, 198 estão em municípios com atração em alguma célula e 174 em municípios sem nenhuma; no transbordo, 70 têm",1,OK,artigo_curto
CURTO_C7_N_TRANSBORDO,Tabela 4 (nota),contagem TRANSBORDO,70,output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/transbordo/nivel/n_tratadas,70,inteiro,"são as 372 células sem atração; no placebo, 198 estão em municípios com atração em alguma célula e 174 em municípios sem nenhuma; no transbordo, 70 têm",1,OK,artigo_curto
CURTO_C7_N_TRAT,Tabela 4 (nota),contagem TRAT,198,output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/nivel/n_tratadas,198,inteiro,"são as 372 células sem atração; no placebo, 198 estão em municípios com atração em alguma célula e 174 em municípios sem nenhuma; no transbordo, 70 têm",1,OK,artigo_curto
CURTO_C7_PLACEBO_NIVEL_beta,Tabela 4 (CNES),placebo NIVEL_beta,"0,063",output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/nivel/mar2026_beta,0.0634466191497142,arredondamento do artigo,"Placebo: município com atração, célula sem & nível & 0,063 & 0,309 & 0,837 \\",1,OK,artigo_curto
CURTO_C7_PLACEBO_NIVEL_p,Tabela 4 (CNES),placebo NIVEL_p,"0,837",output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/nivel/mar2026_p_gl_fe,0.8374871117242676,arredondamento do artigo,"Placebo: município com atração, célula sem & nível & 0,063 & 0,309 & 0,837 \\",1,OK,artigo_curto
CURTO_C7_PLACEBO_NIVEL_se,Tabela 4 (CNES),placebo NIVEL_se,"0,309",output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/nivel/mar2026_se_gl_fe,0.3089813114590481,arredondamento do artigo,"Placebo: município com atração, célula sem & nível & 0,063 & 0,309 & 0,837 \\",1,OK,artigo_curto
CURTO_C7_PLACEBO_PROP_beta,Tabela 4 (CNES),placebo PROP_beta,"0,0007",output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/proporcional/mar2026_beta,0.0006730906955801468,arredondamento do artigo,"Placebo: município com atração, célula sem & proporcional & 0,0007 & 0,027 & 0,980 \\",1,OK,artigo_curto
CURTO_C7_PLACEBO_PROP_p,Tabela 4 (CNES),placebo PROP_p,"0,980",output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/proporcional/mar2026_p_gl_fe,0.9800882710402254,arredondamento do artigo,"Placebo: município com atração, célula sem & proporcional & 0,0007 & 0,027 & 0,980 \\",1,OK,artigo_curto
CURTO_C7_PLACEBO_PROP_se,Tabela 4 (CNES),placebo PROP_se,"0,027",output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/proporcional/mar2026_se_gl_fe,0.02693935778282947,arredondamento do artigo,"Placebo: município com atração, célula sem & proporcional & 0,0007 & 0,027 & 0,980 \\",1,OK,artigo_curto
CURTO_C7_PLACEBO_TXT_N,Secao 4,placebo nivel no texto,"0,063",output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/nivel/mar2026_beta,0.0634466191497142,3 casas,"com 0,063 em nível e 0,0007 na escala proporcional",1,OK,artigo_curto
CURTO_C7_PLACEBO_TXT_P,Secao 4,placebo proporcional no texto,"0,0007",output/tema_trabalho/A5_ameacas_c7.json,campo placebo/resultado/proporcional/mar2026_beta,0.0006730906955801468,4 casas,"com 0,063 em nível e 0,0007 na escala proporcional",1,OK,artigo_curto
CURTO_C7_Q_ALPHA,Secao 4,alfa do protocolo,"0,05",output/tema_trabalho/A5_ameacas_c7.json,campo pretendencia_por_curso/multiplicidade/alpha,0.05,2 casas,"só o curso 16 mantém $q$ abaixo de 0,05 na escala proporcional, com 0,0036, enquanto o curso 2 vai a 0,190",1,OK,artigo_curto
CURTO_C7_Q_CURSO16,Secao 4,q BH do curso 16,"0,0036",output/tema_trabalho/A5_ameacas_c7.json,campo pretendencia_por_curso/multiplicidade/q_por_curso/proporcional/16,0.003646645593400793,4 casas,"só o curso 16 mantém $q$ abaixo de 0,05 na escala proporcional, com 0,0036, enquanto o curso 2 vai a 0,190",1,OK,artigo_curto
CURTO_C7_Q_CURSO2,Secao 4,q BH do curso 2,"0,190",output/tema_trabalho/A5_ameacas_c7.json,campo pretendencia_por_curso/multiplicidade/q_por_curso/proporcional/2,0.1900522049331046,3 casas,"só o curso 16 mantém $q$ abaixo de 0,05 na escala proporcional, com 0,0036, enquanto o curso 2 vai a 0,190",1,OK,artigo_curto
CURTO_C7_Q_CURSOS,Secao 4,cursos com q<alfa,16,output/tema_trabalho/A5_ameacas_c7.json,campo pretendencia_por_curso/multiplicidade/cursos_q_lt_0_05_proporcional,[16],lista,"só o curso 16 mantém $q$ abaixo de 0,05 na escala proporcional, com 0,0036, enquanto o curso 2 vai a 0,190",1,OK,artigo_curto
CURTO_C7_REGIONAL_MULTI_TXT_beta,Secao 4,oferta liquida multi-municipio no texto,"0,044",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/decomposicao_oferta_liquida/multi_municipio/proporcional/mar2026_beta,0.04423241739492413,3 casas,"das 449 região--curso, 385 contêm um único município do quadro, e nelas o agregado regional é a própria célula; restrito às 64 que de fato agregam mais de um município, o coeficiente é 0,044, com $p$ de 0,547",1,OK,artigo_curto
CURTO_C7_REGIONAL_MULTI_TXT_n,Secao 4,regiao-curso que agregam,64,output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/decomposicao_oferta_liquida/n_regiao_curso_multi_municipio,64,inteiro,"das 449 região--curso, 385 contêm um único município do quadro, e nelas o agregado regional é a própria célula; restrito às 64 que de fato agregam mais de um município, o coeficiente é 0,044, com $p$ de 0,547",1,OK,artigo_curto
CURTO_C7_REGIONAL_MULTI_TXT_p,Secao 4,p multi-municipio no texto,"0,547",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/decomposicao_oferta_liquida/multi_municipio/proporcional/mar2026_p_gl_fe,0.5474586522013783,3 casas,"das 449 região--curso, 385 contêm um único município do quadro, e nelas o agregado regional é a própria célula; restrito às 64 que de fato agregam mais de um município, o coeficiente é 0,044, com $p$ de 0,547",1,OK,artigo_curto
CURTO_C7_REGIONAL_MULTI_beta,Tabela 4 (CNES),"oferta liquida, so multi-municipio: beta","0,044",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/decomposicao_oferta_liquida/multi_municipio/proporcional/mar2026_beta,0.04423241739492413,3 casas,"\quad só as que agregam $>$1 município & proporcional & 0,044 & 0,073 & 0,547 \\",1,OK,artigo_curto
CURTO_C7_REGIONAL_MULTI_p,Tabela 4 (CNES),"oferta liquida, so multi-municipio: p","0,547",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/decomposicao_oferta_liquida/multi_municipio/proporcional/mar2026_p_gl_fe,0.5474586522013783,3 casas,"\quad só as que agregam $>$1 município & proporcional & 0,044 & 0,073 & 0,547 \\",1,OK,artigo_curto
CURTO_C7_REGIONAL_MULTI_se,Tabela 4 (CNES),"oferta liquida, so multi-municipio: se","0,073",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/decomposicao_oferta_liquida/multi_municipio/proporcional/mar2026_se_gl_fe,0.07266638927701528,3 casas,"\quad só as que agregam $>$1 município & proporcional & 0,044 & 0,073 & 0,547 \\",1,OK,artigo_curto
CURTO_C7_REGIONAL_NOTA_MULTI,Tabela 4 (nota),regiao-curso MULTI,64,output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/decomposicao_oferta_liquida/n_regiao_curso_multi_municipio,64,inteiro,"das 449 região--curso, 385 contêm um único município do quadro, e nelas o agregado regional é a própria célula, de modo que só as 64 restantes distinguem oferta líquida de oferta da célula",1,OK,artigo_curto
CURTO_C7_REGIONAL_NOTA_TOTAL,Tabela 4 (nota),regiao-curso TOTAL,449,output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/n_regiao_curso,449,inteiro,"das 449 região--curso, 385 contêm um único município do quadro, e nelas o agregado regional é a própria célula, de modo que só as 64 restantes distinguem oferta líquida de oferta da célula",1,OK,artigo_curto
CURTO_C7_REGIONAL_NOTA_UNI,Tabela 4 (nota),regiao-curso UNI,385,output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/decomposicao_oferta_liquida/n_regiao_curso_um_municipio,385,inteiro,"das 449 região--curso, 385 contêm um único município do quadro, e nelas o agregado regional é a própria célula, de modo que só as 64 restantes distinguem oferta líquida de oferta da célula",1,OK,artigo_curto
CURTO_C7_REGIONAL_TXT_beta,Secao 4,oferta liquida regional no texto,"0,050",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/oferta_liquida_regional/proporcional/mar2026_beta,0.050159060504416514,3 casas,"sobe 0,050 log-ponto com $p$ de 0,006 em 173 regiões",1,OK,artigo_curto
CURTO_C7_REGIONAL_TXT_n,Secao 4,regioes,173,output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/n_regioes,173,inteiro,"sobe 0,050 log-ponto com $p$ de 0,006 em 173 regiões",1,OK,artigo_curto
CURTO_C7_REGIONAL_TXT_p,Secao 4,p regional no texto,"0,006",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/oferta_liquida_regional/proporcional/mar2026_p_gl_fe,0.005616636420513955,3 casas,"sobe 0,050 log-ponto com $p$ de 0,006 em 173 regiões",1,OK,artigo_curto
CURTO_C7_REGIONAL_beta,Tabela 4 (CNES),oferta liquida regional beta,"0,050",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/oferta_liquida_regional/proporcional/mar2026_beta,0.050159060504416514,3 casas,"Oferta líquida por região--curso & proporcional & 0,050 & 0,018 & 0,006 \\",1,OK,artigo_curto
CURTO_C7_REGIONAL_p,Tabela 4 (CNES),oferta liquida regional p,"0,006",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/oferta_liquida_regional/proporcional/mar2026_p_gl_fe,0.005616636420513955,3 casas,"Oferta líquida por região--curso & proporcional & 0,050 & 0,018 & 0,006 \\",1,OK,artigo_curto
CURTO_C7_REGIONAL_se,Tabela 4 (CNES),oferta liquida regional se,"0,018",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/oferta_liquida_regional/proporcional/mar2026_se_gl_fe,0.01788412042798026,3 casas,"Oferta líquida por região--curso & proporcional & 0,050 & 0,018 & 0,006 \\",1,OK,artigo_curto
CURTO_C7_TRANSBORDO_beta,Tabela 4 (CNES),transbordo beta,"$-$0,011",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/transbordo/proporcional/mar2026_beta,-0.010510960286563557,3 casas,"Transbordo: vizinho da região com atração & proporcional & $-$0,011 & 0,032 & 0,741 \\",1,OK,artigo_curto
CURTO_C7_TRANSBORDO_p,Tabela 4 (CNES),transbordo p,"0,741",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/transbordo/proporcional/mar2026_p_gl_fe,0.7409315467763159,3 casas,"Transbordo: vizinho da região com atração & proporcional & $-$0,011 & 0,032 & 0,741 \\",1,OK,artigo_curto
CURTO_C7_TRANSBORDO_se,Tabela 4 (CNES),transbordo se,"0,032",output/tema_trabalho/A5_ameacas_c7.json,campo deslocamento/transbordo/proporcional/mar2026_se_gl_fe,0.031753348972552435,3 casas,"Transbordo: vizinho da região com atração & proporcional & $-$0,011 & 0,032 & 0,741 \\",1,OK,artigo_curto
CURTO_RESUMO_A4,Resumo,contraste metropolitano,"27,9",output/tema_trabalho/A4_tabela_02_modelo_principal_LPM.csv,linha 20; coluna coef,0.2792856656562696,"proporcao x100, 1 casa","é 27,9 pontos percentuais maior em células metropolitanas",1,OK,artigo_curto
CURTO_RESUMO_A5,Resumo,estoque proporcional em marco/2026,"0,068",output/tema_trabalho/A5_estimativas_provimento.json,campo modelos/principal_proporcional_confirmatorio/mar2026_beta,0.06840172350321641,3 casas,"é 0,068 log-ponto maior",1,OK,artigo_curto
CURTO_RESUMO_ATIVO,Resumo,Efeito em presenca ativa no mesmo curso-CNES,"33,3",output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 11; coluna diferenca,0.3333333333333333,"proporcao x100, 1 casa","em 12 de agosto de 2026, em 33,3 pontos percentuais",1,OK,artigo_curto
CURTO_RESUMO_HOMOLOG,Resumo,Efeito em homologacao no mesmo curso-CNES,"63,9",output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 10; coluna diferenca,0.6388888888888888,"proporcao x100, 1 casa","elevou a homologação no mesmo curso--CNES em 63,9 pontos percentuais",2,OK,artigo_curto
CURTO_TXT_EMPATES_A,Secao 2.4,empates: presenca ativa,"43,4",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 9; coluna diferenca,0.4342105263157895,"proporcao x100, 1 casa","mostram 64,5 e 43,4 pontos percentuais",1,OK,artigo_curto
CURTO_TXT_EMPATES_H,Secao 2.4,empates: homologacao,"64,5",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 8; coluna diferenca,0.6447368421052632,"proporcao x100, 1 casa","mostram 64,5 e 43,4 pontos percentuais",1,OK,artigo_curto
CURTO_TXT_REP2026_DIF,Secao 2.4,presenca ativa na replicacao,"36,4",output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 14; coluna diferenca,0.3636363636363636,"proporcao x100, 1 casa","a diferença de presença ativa no mesmo curso--CNES é de 36,4 pontos percentuais, próxima da estimativa de 2025",1,OK,artigo_curto
CURTO_TXT_REP2026_DISC,Secao 2.4,discordantes da replicacao,4,output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 14; coluna discordantes_favoraveis,4,inteiro,porque há apenas 4 pares discordantes,1,OK,artigo_curto
CURTO_TXT_REP2026_N,Secao 2.1,pares da replicacao,11,output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 14; coluna n_pares,11,inteiro,"Em 2026, 11 pares atendem ao mesmo critério",1,OK,artigo_curto
CURTO_VAL_REP2026_DISC,Tabela 2 (nota),replicacao 2026: DISC,4,output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 14; coluna discordantes_favoraveis,4,inteiro,"tem intervalo convencional de 2,5 a 70,3 pontos percentuais e teste exato de 0,125, com 4 pares discordantes",1,OK,artigo_curto
CURTO_VAL_REP2026_IC_HI,Tabela 2 (nota),replicacao 2026: IC_HI,"70,3",output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 14; coluna ic95_convencional_superior,0.7025808565498983,"proporcao x100, 1 casa","tem intervalo convencional de 2,5 a 70,3 pontos percentuais e teste exato de 0,125, com 4 pares discordantes",1,OK,artigo_curto
CURTO_VAL_REP2026_IC_LO,Tabela 2 (nota),replicacao 2026: IC_LO,"2,5",output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 14; coluna ic95_convencional_inferior,0.0246918707228289,"proporcao x100, 1 casa","tem intervalo convencional de 2,5 a 70,3 pontos percentuais e teste exato de 0,125, com 4 pares discordantes",1,OK,artigo_curto
CURTO_VAL_REP2026_P,Tabela 2 (nota),replicacao 2026: P,"0,125",output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 14; coluna p_exato_pareado_bicaudal,0.125,"p exato, 3 casas","tem intervalo convencional de 2,5 a 70,3 pontos percentuais e teste exato de 0,125, com 4 pares discordantes",1,OK,artigo_curto
CURTO_VAL_REP2026_ativo,Tabela 2 (validacao),presenca ativa na replicacao,"36,4",output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 14; coluna diferenca,0.3636363636363636,"proporcao x100, 1 casa","Replicação & Gap de exatamente 1 ponto, 2026 & 11 & --- & 36,4 \\",1,OK,artigo_curto
CURTO_VAL_REP2026_n,Tabela 2 (validacao),pares da replicacao,11,output/tema_trabalho/A8_tabela_02_estimativas_escore_estrito.csv,linha 14; coluna n_pares,11,inteiro,"Replicação & Gap de exatamente 1 ponto, 2026 & 11 & --- & 36,4 \\",1,OK,artigo_curto
CURTO_VAL_empate_descritivo_nao_causal_ativo,Tabela 2 (validacao),presenca ativa em empate_descritivo_nao_causal,"43,4",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 9; coluna diferenca,0.4342105263157895,"proporcao x100, 1 casa","Descritivo & Empates, 2025 (não causal) & 76 & 64,5 & 43,4 \\",1,OK,artigo_curto
CURTO_VAL_empate_descritivo_nao_causal_homolog,Tabela 2 (validacao),homologacao em empate_descritivo_nao_causal,"64,5",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 8; coluna diferenca,0.6447368421052632,"proporcao x100, 1 casa","Descritivo & Empates, 2025 (não causal) & 76 & 64,5 & 43,4 \\",1,OK,artigo_curto
CURTO_VAL_empate_descritivo_nao_causal_n,Tabela 2 (validacao),pares em empate_descritivo_nao_causal,76,output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 8; coluna n_pares,76,inteiro,"Descritivo & Empates, 2025 (não causal) & 76 & 64,5 & 43,4 \\",1,OK,artigo_curto
CURTO_VAL_gap_1_ac_ativo,Tabela 2 (validacao),presenca ativa em gap_1_ac,"33,3",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 3; coluna diferenca,0.3333333333333333,"proporcao x100, 1 casa","Principal & Gap de exatamente 1 ponto, 2025 & 36 & 63,9 & 33,3 \\",1,OK,artigo_curto
CURTO_VAL_gap_1_ac_homolog,Tabela 2 (validacao),homologacao em gap_1_ac,"63,9",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 2; coluna diferenca,0.6388888888888888,"proporcao x100, 1 casa","Principal & Gap de exatamente 1 ponto, 2025 & 36 & 63,9 & 33,3 \\",1,OK,artigo_curto
CURTO_VAL_gap_1_ac_n,Tabela 2 (validacao),pares em gap_1_ac,36,output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 2; coluna n_pares,36,inteiro,"Principal & Gap de exatamente 1 ponto, 2025 & 36 & 63,9 & 33,3 \\",1,OK,artigo_curto
CURTO_VAL_gap_positivo_ate_2_ac_ativo,Tabela 2 (validacao),presenca ativa em gap_positivo_ate_2_ac,"35,1",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 5; coluna diferenca,0.3513513513513513,"proporcao x100, 1 casa","Janela & Gap positivo de até 2 pontos, 2025 & 74 & 58,1 & 35,1 \\",1,OK,artigo_curto
CURTO_VAL_gap_positivo_ate_2_ac_homolog,Tabela 2 (validacao),homologacao em gap_positivo_ate_2_ac,"58,1",output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 4; coluna diferenca,0.581081081081081,"proporcao x100, 1 casa","Janela & Gap positivo de até 2 pontos, 2025 & 74 & 58,1 & 35,1 \\",1,OK,artigo_curto
CURTO_VAL_gap_positivo_ate_2_ac_n,Tabela 2 (validacao),pares em gap_positivo_ate_2_ac,74,output/tema_trabalho/A8_tabela_04_sensibilidade_gap.csv,linha 4; coluna n_pares,74,inteiro,"Janela & Gap positivo de até 2 pontos, 2025 & 74 & 58,1 & 35,1 \\",1,OK,artigo_curto
CURTO_VAL_placebo_abaixo_gap_1_ac_ativo,Tabela 2 (validacao),presenca ativa em placebo_abaixo_gap_1_ac,"0,0",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 3; coluna diferenca,0.0,"proporcao x100, 1 casa","Placebo & Imediatamente abaixo do cutoff, 2025 & 30 & $-$3,3 & 0,0 \\",1,OK,artigo_curto
CURTO_VAL_placebo_abaixo_gap_1_ac_homolog,Tabela 2 (validacao),homologacao em placebo_abaixo_gap_1_ac,"$-$3,3",output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 2; coluna diferenca,-0.0333333333333333,"proporcao x100, 1 casa","Placebo & Imediatamente abaixo do cutoff, 2025 & 30 & $-$3,3 & 0,0 \\",1,OK,artigo_curto
CURTO_VAL_placebo_abaixo_gap_1_ac_n,Tabela 2 (validacao),pares em placebo_abaixo_gap_1_ac,30,output/tema_trabalho/A8_tabela_03_placebos_escore_estrito.csv,linha 2; coluna n_pares,30,inteiro,"Placebo & Imediatamente abaixo do cutoff, 2025 & 30 & $-$3,3 & 0,0 \\",1,OK,artigo_curto
